Program Code,Program Title,Semester,Required Credit,Study Pattern,Subject Code,GE Elective,GE/DS Elective,DS Elective,Cantonese/Putonghua,Eng Level,Total DS,Total GE,Bio Level,Chem Level,Phy Level
8C112-AS,Associate of Science,1,68,II,LCH1066,,,,Cantonese,2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,68,II,SEHH1069,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1116,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,68,II,SHDH1072,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1108,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1106,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1109,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,68,II,LCH1066,,,,Cantonese,2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,65,II,SEHH1069,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1116,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,65,II,SHDH1072,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH2041,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1106,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1109,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,65,II,LCH1066,,,,Cantonese,2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,68,II,SEHH1069,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1116,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,68,II,SHDH1072,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1108,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1107,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,68,II,SEHH1109,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,68,II,LCH1066,,,,Cantonese,2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,65,II,SEHH1069,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1116,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,SHDH1072,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH2041,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1107,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1109,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,LCH1066,,,,Cantonese,2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,65,II,SEHH1069,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,65,II,SEHH1116,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,65,II,SHDH1072,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,65,II,SEHH1108,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,65,II,SEHH1109,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,65,II,SEHH1110,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,65,II,LCH1066,,,,Cantonese,2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,71,II,SEHH1069,,,,Putonghua,2,6,4,<2,<2,<2
